;ORIGIN;DEST;Quarter;TotalPax;TotalFare;AverageFare;Year
1624;EWR;PHX;1;4812;1439062.62;299.05706983;2013
1625;EWR;SEA;1;2821;881477.7;312.46993974;2013
1626;EWR;SFO;1;5096;2499095.65;490.40338501;2013
1627;IAH;ATL;1;3226;630597.11;195.4733757;2013
1628;IAH;BOS;1;2450;876397.49;357.71326122;2013
1629;IAH;CLT;1;1337;455086.13;340.37855647;2013
1630;IAH;DEN;1;5687;1313333.91;230.93615439;2013
1631;IAH;DFW;1;3332;461819.74;138.60136255;2013
1632;IAH;DTW;1;1839;587774.63;319.61643828;2013
1633;IAH;EWR;1;4552;1603173.52;352.19101933;2013
1634;IAH;JFK;1;305;75702.89;248.20619672;2013
1635;IAH;LAS;1;4627;1041870.09;225.17183704;2013
1636;IAH;LAX;1;4531;1500978.95;331.2688038;2013
1637;IAH;LGA;1;4734;1691232.6;357.25234474;2013
1638;IAH;MCO;1;3112;722645.94;232.21270566;2013
1639;IAH;MIA;1;2121;568367.11;267.97129184;2013
1640;IAH;MSP;1;1637;613462.52;374.74802688;2013
1641;IAH;ORD;1;5657;1503152.6;265.71550292;2013
1642;IAH;PHL;1;3461;840537.61;242.85975441;2013
1643;IAH;PHX;1;2284;611858.26;267.88890543;2013
1644;IAH;SEA;1;2570;708353.76;275.62403113;2013
1645;IAH;SFO;1;3647;1319455.81;361.79210584;2013
1646;JFK;ATL;1;1846;336586.43;182.33284399;2013
1647;JFK;BOS;1;3788;590206.43;155.80951162;2013
1648;JFK;CLT;1;2200;286521.43;130.23701364;2013
1649;JFK;DEN;1;1627;298757.95;183.6250461;2013
1650;JFK;DFW;1;818;234479.43;286.64966993;2013
1651;JFK;DTW;1;405;90793.91;224.18249383;2013
1652;JFK;IAH;1;295;73033.42;247.57091525;2013
1653;JFK;LAS;1;8284;2501361.43;301.95092105;2013
1654;JFK;LAX;1;27070;9401474.98;347.3023635;2013
1655;JFK;MCO;1;11681;1989399.96;170.31075764;2013
1656;JFK;MIA;1;6114;1188704.11;194.4233088;2013
1657;JFK;MSP;1;1199;255813.39;213.35562135;2013
1658;JFK;ORD;1;2691;429731.01;159.6919398;2013
1659;JFK;PHL;1;55;17806.79;323.75981818;2013
1660;JFK;PHX;1;4536;1179454.6;260.02085538;2013
1661;JFK;SEA;1;3665;954371.28;260.40144065;2013
1662;JFK;SFO;1;18726;6931860.96;370.17307273;2013
1663;LAS;ATL;1;6161;1517644.74;246.33091057;2013
1664;LAS;BOS;1;4624;1181675.44;255.55264706;2013
1665;LAS;CLT;1;2755;716661.09;260.13106715;2013
1666;LAS;DEN;1;12467;1562727.29;125.34910484;2013
1667;LAS;DFW;1;8345;1600316.64;191.76951947;2013
1668;LAS;DTW;1;8105;1558921.37;192.34069957;2013
1669;LAS;EWR;1;5238;1823383.39;348.10679458;2013
1670;LAS;IAH;1;4672;1086111.95;232.47259204;2013
1671;LAS;JFK;1;8603;2666569.12;309.95805184;2013
1672;LAS;LAX;1;13441;1650664.32;122.8081482;2013
1673;LAS;LGA;1;1439;384974.55;267.52922168;2013
1674;LAS;MCO;1;3105;849232.69;273.50489211;2013
