;AverageFare;Ref
3676;172;15 6 1 2012
3677;172;15 6 2 2012
3678;172;15 6 3 2012
3679;172;15 6 4 2012
3680;172;15 6 1 2013
3681;172;15 6 2 2013
3682;297;15 6 3 2013
3683;297;15 6 4 2013
3684;299;15 7 1 2011
3685;299;15 7 2 2011
3686;299;15 7 3 2011
3687;299;15 7 4 2011
3688;172;15 7 1 2012
3689;172;15 7 2 2012
3690;172;15 7 3 2012
3691;172;15 7 4 2012
3692;172;15 7 1 2013
3693;172;15 7 2 2013
3694;299;15 7 3 2013
3695;299;15 7 4 2013
3696;192;15 8 1 2011
3697;192;15 8 2 2011
3698;192;15 8 3 2011
3699;192;15 8 4 2011
3700;172;15 8 1 2012
3701;172;15 8 2 2012
3702;172;15 8 3 2012
3703;172;15 8 4 2012
3704;172;15 8 1 2013
3705;172;15 8 2 2013
3706;192;15 8 3 2013
3707;192;15 8 4 2013
3708;200;15 9 1 2011
3709;200;15 9 2 2011
3710;200;15 9 3 2011
3711;200;15 9 4 2011
3712;172;15 9 1 2012
3713;172;15 9 2 2012
3714;172;15 9 3 2012
3715;172;15 9 4 2012
3716;172;15 9 1 2013
3717;172;15 9 2 2013
3718;200;15 9 3 2013
3719;200;15 9 4 2013
3720;363;15 10 1 201
3721;363;15 10 2 201
3722;363;15 10 3 201
3723;363;15 10 4 201
3724;172;15 10 1 201
3725;172;15 10 2 201
3726;172;15 10 3 201
3727;172;15 10 4 201
3728;172;15 10 1 201
3729;172;15 10 2 201
3730;363;15 10 3 201
3731;363;15 10 4 201
3732;264;15 11 1 201
3733;264;15 11 2 201
3734;264;15 11 3 201
3735;264;15 11 4 201
3736;172;15 11 1 201
3737;172;15 11 2 201
3738;172;15 11 3 201
3739;172;15 11 4 201
3740;172;15 11 1 201
3741;172;15 11 2 201
3742;264;15 11 3 201
3743;264;15 11 4 201
3744;200;15 12 1 201
3745;200;15 12 2 201
3746;200;15 12 3 201
3747;200;15 12 4 201
3748;172;15 12 1 201
3749;172;15 12 2 201
3750;172;15 12 3 201
3751;172;15 12 4 201
3752;172;15 12 1 201
3753;172;15 12 2 201
3754;200;15 12 3 201
3755;200;15 12 4 201
3756;380;15 13 1 201
3757;380;15 13 2 201
3758;380;15 13 3 201
3759;380;15 13 4 201
3760;172;15 13 1 201
3761;172;15 13 2 201
3762;172;15 13 3 201
3763;172;15 13 4 201
3764;172;15 13 1 201
3765;172;15 13 2 201
3766;380;15 13 3 201
3767;380;15 13 4 201
3768;230;15 14 1 201
3769;230;15 14 2 201
3770;230;15 14 3 201
3771;230;15 14 4 201
3772;172;15 14 1 201
3773;172;15 14 2 201
3774;172;15 14 3 201
3775;172;15 14 4 201
3776;172;15 14 1 201
3777;172;15 14 2 201
3778;230;15 14 3 201
3779;230;15 14 4 201
3780;0;15 15 1 201
3781;0;15 15 2 201
3782;0;15 15 3 201
3783;0;15 15 4 201
3784;0;15 15 1 201
3785;0;15 15 2 201
3786;0;15 15 3 201
3787;0;15 15 4 201
3788;0;15 15 1 201
3789;0;15 15 2 201
3790;0;15 15 3 201
3791;0;15 15 4 201
3792;310;15 16 1 201
3793;310;15 16 2 201
3794;310;15 16 3 201
3795;310;15 16 4 201
3796;172;15 16 1 201
3797;172;15 16 2 201
3798;172;15 16 3 201
3799;172;15 16 4 201
3800;172;15 16 1 201
3801;172;15 16 2 201
3802;310;15 16 3 201
3803;310;15 16 4 201
3804;320;15 17 1 201
3805;320;15 17 2 201
3806;320;15 17 3 201
3807;320;15 17 4 201
3808;172;15 17 1 201
3809;172;15 17 2 201
3810;172;15 17 3 201
3811;172;15 17 4 201
3812;172;15 17 1 201
3813;172;15 17 2 201
3814;320;15 17 3 201
3815;320;15 17 4 201
3816;275;15 18 1 201
3817;275;15 18 2 201
3818;275;15 18 3 201
3819;275;15 18 4 201
3820;172;15 18 1 201
3821;172;15 18 2 201
3822;172;15 18 3 201
3823;172;15 18 4 201
3824;172;15 18 1 201
3825;172;15 18 2 201
3826;275;15 18 3 201
3827;275;15 18 4 201
3828;285;15 19 1 201
3829;285;15 19 2 201
3830;285;15 19 3 201
3831;285;15 19 4 201
3832;172;15 19 1 201
3833;172;15 19 2 201
3834;172;15 19 3 201
3835;172;15 19 4 201
3836;172;15 19 1 201
3837;172;15 19 2 201
3838;285;15 19 3 201
3839;285;15 19 4 201
3840;203;16 0 1 2011
3841;203;16 0 2 2011
3842;203;16 0 3 2011
3843;203;16 0 4 2011
3844;172;16 0 1 2012
3845;172;16 0 2 2012
3846;172;16 0 3 2012
3847;172;16 0 4 2012
3848;172;16 0 1 2013
3849;172;16 0 2 2013
3850;203;16 0 3 2013
3851;203;16 0 4 2013
3852;146;16 1 1 2011
3853;146;16 1 2 2011
3854;146;16 1 3 2011
3855;146;16 1 4 2011
3856;172;16 1 1 2012
3857;172;16 1 2 2012
3858;172;16 1 3 2012
3859;172;16 1 4 2012
3860;172;16 1 1 2013
3861;172;16 1 2 2013
3862;146;16 1 3 2013
3863;146;16 1 4 2013
3864;284;16 2 1 2011
3865;284;16 2 2 2011
3866;284;16 2 3 2011
3867;284;16 2 4 2011
3868;172;16 2 1 2012
3869;172;16 2 2 2012
3870;172;16 2 3 2012
3871;172;16 2 4 2012
3872;172;16 2 1 2013
3873;172;16 2 2 2013
3874;284;16 2 3 2013
3875;284;16 2 4 2013
3876;244;16 3 1 2011
3877;244;16 3 2 2011
3878;244;16 3 3 2011
3879;244;16 3 4 2011
3880;172;16 3 1 2012
3881;172;16 3 2 2012
3882;172;16 3 3 2012
3883;172;16 3 4 2012
3884;172;16 3 1 2013
3885;172;16 3 2 2013
3886;244;16 3 3 2013
3887;244;16 3 4 2013
3888;184;16 4 1 2011
3889;184;16 4 2 2011
3890;184;16 4 3 2011
3891;184;16 4 4 2011
3892;172;16 4 1 2012
3893;172;16 4 2 2012
3894;172;16 4 3 2012
3895;172;16 4 4 2012
3896;172;16 4 1 2013
3897;172;16 4 2 2013
3898;184;16 4 3 2013
3899;184;16 4 4 2013
3900;224;16 5 1 2011
3901;224;16 5 2 2011
3902;224;16 5 3 2011
3903;224;16 5 4 2011
3904;172;16 5 1 2012
3905;172;16 5 2 2012
3906;172;16 5 3 2012
3907;172;16 5 4 2012
3908;172;16 5 1 2013
3909;172;16 5 2 2013
3910;224;16 5 3 2013
3911;224;16 5 4 2013
3912;327;16 6 1 2011
3913;327;16 6 2 2011
3914;327;16 6 3 2011
3915;327;16 6 4 2011
3916;172;16 6 1 2012
3917;172;16 6 2 2012
3918;172;16 6 3 2012
3919;172;16 6 4 2012
3920;172;16 6 1 2013
3921;172;16 6 2 2013
3922;327;16 6 3 2013
3923;327;16 6 4 2013
3924;273;16 7 1 2011
3925;273;16 7 2 2011
3926;273;16 7 3 2011
3927;273;16 7 4 2011
3928;172;16 7 1 2012
3929;172;16 7 2 2012
3930;172;16 7 3 2012
3931;172;16 7 4 2012
3932;172;16 7 1 2013
3933;172;16 7 2 2013
3934;273;16 7 3 2013
3935;273;16 7 4 2013
3936;194;16 8 1 2011
3937;194;16 8 2 2011
3938;194;16 8 3 2011
3939;194;16 8 4 2011
3940;172;16 8 1 2012
3941;172;16 8 2 2012
3942;172;16 8 3 2012
3943;172;16 8 4 2012
3944;172;16 8 1 2013
3945;172;16 8 2 2013
3946;194;16 8 3 2013
3947;194;16 8 4 2013
3948;238;16 9 1 2011
3949;238;16 9 2 2011
3950;238;16 9 3 2011
3951;238;16 9 4 2011
3952;172;16 9 1 2012
3953;172;16 9 2 2012
3954;172;16 9 3 2012
3955;172;16 9 4 2012
3956;172;16 9 1 2013
3957;172;16 9 2 2013
3958;238;16 9 3 2013
3959;238;16 9 4 2013
3960;318;16 10 1 201
3961;318;16 10 2 201
3962;318;16 10 3 201
3963;318;16 10 4 201
3964;172;16 10 1 201
3965;172;16 10 2 201
3966;172;16 10 3 201
3967;172;16 10 4 201
3968;172;16 10 1 201
3969;172;16 10 2 201
3970;318;16 10 3 201
3971;318;16 10 4 201
3972;188;16 11 1 201
3973;188;16 11 2 201
3974;188;16 11 3 201
3975;188;16 11 4 201
3976;172;16 11 1 201
